Question Length,Answer Length,Question Word Count,Answer Word Count,Question Sentence Count,Answer Sentence Count,Question Syllable Count,Answer Syllable Count,Question VADER Sentiment,Answer VADER Sentiment,Question LLM Sentiment,Answer LLM Sentiment,Question LLM Raw,Answer LLM Raw,Reasonability Score,Usecase Name,User Persona,Explainer Types
55,1157,10,158,1,8,15,313,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,8.335714285714285,Jiva Fracture Detection System,Clinician,"/Images/GradCam, /Images/IntegratedGradients, /Images/NearestNeighbours"
45,1354,7,197,1,10,13,380,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,8.302857142857144,Sensor Anomaly Detection (Bosch),Auditor,/Images/SSIMNearestNeighbours
44,2056,8,252,1,12,11,510,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,9.035714285714286,Telecom notes diagnosis (BT),Telecom Planner,/Text/LIME
50,1059,10,138,1,7,15,241,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,8.714285714285714,Jiva Fracture Detection System,Clinician,/Images/GradCam
86,1890,16,223,1,11,24,451,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,8.67142857142857,Telecom notes diagnosis (BT),ML engineer,"/Text/NLPClassifier, /Text/LIME"
25,1089,6,163,1,8,7,299,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,6.935714285714286,Sensor Anomaly Detection (Bosch),Auditor,"/Images/SSIMNearestNeighbours, /Images/SSIMCounterfactuals"
40,1457,6,213,1,10,12,392,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,8.535714285714286,Sensor Anomaly Detection (Bosch),ML Engineer,"/Misc/AIModelPerformance, /Images/IntegratedGradients"
35,987,7,146,1,8,9,264,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,8.49,Loan Approval System,User,"/Tabular/DisCERN, /Tabular/LIME"
38,2088,7,211,1,11,10,419,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,8.714285714285714,Loan Approval System,User,"/Tabular/DisCERN, /Tabular/LIME"
52,669,9,89,1,4,13,167,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,8.278571428571428,Jiva Fracture Detection System,Manager,/Misc/AIModelPerformance
